SeniorCitizen,Partner,Dependents,tenure,PaperlessBilling,MonthlyCharges,Churn_Binary,ServicePenetration,ChargesTenureRatio,LongTermContract,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
-0.43991649313097614,1,0,-1.2774445836787656,1,-1.1603229160349193,0,-1.0527767083528987,1.0495927638960636,-0.9041838237309792,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
-0.43991649313097614,0,0,0.06632741908223598,0,-0.2596289419448806,0,0.03195833033183052,-0.47507330275463205,1.1059697970194269,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True
-0.43991649313097614,0,0,-1.2367242199587352,1,-0.3626603559551803,1,0.03195833033183052,1.3964241971165443,-0.9041838237309792,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True
-0.43991649313097614,0,0,0.5142514200025698,0,-0.7465354629935549,0,0.03195833033183052,-0.5562006306586968,1.1059697970194269,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False
-0.43991649313097614,0,0,-1.2367242199587352,1,0.19736523310080326,1,-1.0527767083528987,2.0404032218840493,-0.9041838237309792,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
-0.43991649313097614,0,0,-0.9924020376385531,1,1.1595456961969886,1,0.5743258496741952,0.607852453632696,-0.9041838237309792,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False
-0.43991649313097614,0,1,-0.4223169455581282,1,0.8089065291619363,0,0.03195833033183052,-0.21746982379801877,-0.9041838237309792,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False
-0.43991649313097614,0,0,-0.9109613101984924,0,-1.1636465100352518,0,-1.0527767083528987,-0.3515436872132728,-0.9041838237309792,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
-0.43991649313097614,1,0,-0.1779947632379461,1,1.330710787214099,1,1.11669336901656,-0.24729388052853946,-0.9041838237309792,False,False,True,True,False,False,False,True,True,True,True,False,False,True,False
-0.43991649313097614,0,1,1.2064976032430856,0,-0.28621769394753876,0,0.03195833033183052,-0.5594448375524886,1.1059697970194269,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False
-0.43991649313097614,1,1,-0.7888002190384014,1,-0.4922805219681379,0,-0.5104091890105341,-0.2525606689742195,-0.9041838237309792,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
-0.43991649313097614,0,0,-0.6666391278783103,0,-1.5225946620711341,0,-1.0527767083528987,-0.5338267739617573,1.1059697970194269,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
-0.43991649313097614,1,0,1.0436161483629645,0,1.182810854199314,0,0.5743258496741952,-0.4666227003675578,1.1059697970194269,True,False,True,True,False,False,False,True,False,True,True,True,True,False,False
-0.43991649313097614,0,0,0.6771328748826912,1,1.2941512532104444,1,1.11669336901656,-0.42383888843993717,-0.9041838237309792,True,False,True,True,False,False,True,True,False,True,True,False,False,False,False
-0.43991649313097614,0,0,-0.30015585439803716,1,1.3539759452164248,0,1.6590608883589244,-0.19639860872246062,-0.9041838237309792,True,False,False,True,False,True,False,True,True,True,True,False,False,True,False
-0.43991649313097614,1,1,1.4915401492832983,0,1.611554480242174,0,2.201428407701289,-0.4761379565047775,1.1059697970194269,False,False,True,True,False,True,True,True,True,True,True,False,True,False,False
-0.43991649313097614,0,0,0.7992939660427822,0,-1.4660935640654862,0,-1.0527767083528987,-0.6169612068959407,1.1059697970194269,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
-0.43991649313097614,0,1,1.5729808767233588,0,1.393859073220412,0,1.11669336901656,-0.4917210295571211,1.1059697970194269,True,False,True,True,False,True,False,True,False,True,True,False,False,False,False
-0.43991649313097614,1,1,-0.9109613101984924,0,-0.31779183695069496,1,0.03195833033183052,-0.08627366541128198,-0.9041838237309792,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
